"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045165","cell fate commitment","18/339","195/18842",0.0923076923076923,5.13056501021103,7.84789224893525,1.60780028173937e-08,3.01270013519366e-05,1.26425715367698e-05,"2263/30009/429/9096/4654/6913/2139/3549/5454/10716/7490/6899/10736/2138/5468/3570/7482/2627",18
"GO:0010817","regulation of hormone levels","29/339","487/18842",0.0595482546201232,3.30975874204236,6.99012038298137,1.89537598942665e-08,3.01270013519366e-05,1.26425715367698e-05,"9971/3651/3741/6718/1592/9066/51478/3172/125/53919/6770/2266/5468/134/3570/1734/222546/216/6928/2297/2243/54097/2775/2494/185/340665/51200/6783/2244",29
"GO:0001708","cell fate specification","11/339","70/18842",0.157142857142857,8.73417614833544,8.77482685576225,4.56578857797314e-08,4.83821396312553e-05,2.03032042334613e-05,"30009/429/9096/6913/2139/3549/5454/10716/6899/10736/2138",11
"GO:0008203","cholesterol metabolic process","14/339","139/18842",0.100719424460432,5.59809851234057,7.36479706169797,2.20128673488149e-07,0.000174947263254706,7.34153148872068e-05,"9971/33/6718/335/51478/57540/1717/6770/338/8435/3158/3638/6307/185",14
"GO:0048732","gland development","18/339","236/18842",0.076271186440678,4.23923803809809,6.77802406310974,2.9572340557378e-07,0.000188020941263809,7.8901586406498e-05,"2263/9368/7448/3084/6495/3549/5909/7490/6899/3673/3158/6658/1050/6928/6496/2494/2627/8862",18
"GO:0048729","tissue morphogenesis","24/339","408/18842",0.0588235294117647,3.26947770258546,6.273024152047,4.14584684474793e-07,0.000219660785324228,9.21790111084546e-05,"6474/2263/9368/25789/9096/6092/2139/3084/6495/3549/3371/2294/7490/6899/7137/10736/2138/3673/153572/2297/6496/960/4036/58",24
"GO:1902652","secondary alcohol metabolic process","14/339","149/18842",0.0939597315436242,5.22238720278751,7.00394032759265,5.19060967783131e-07,0.000235727830940368,9.89214270300955e-05,"9971/33/6718/335/51478/57540/1717/6770/338/8435/3158/3638/6307/185",14
"GO:0007389","pattern specification process","19/339","277/18842",0.0685920577617329,3.81242345824947,6.38269172206448,7.07623972958985e-07,0.000281192076254577,0.000118000158664739,"3221/2263/429/3202/9096/6092/6495/3549/3211/7490/6899/5090/10736/7482/153572/2297/6496/340665/4036",19
"GO:0072001","renal system development","17/339","231/18842",0.0735930735930736,4.09038552401384,6.39682611840204,1.0427091626689e-06,0.000355919888455799,0.000149359127999386,"2263/55959/25789/9096/1592/6092/793/6495/2294/7490/10736/3570/3158/6928/153572/2297/185",17
"GO:0035270","endocrine system development","10/339","77/18842",0.12987012987013,7.21832739531855,7.40074450930272,1.17321934567881e-06,0.000355919888455799,0.000149359127999386,"3651/6495/5909/7490/6899/3570/222546/6658/6928/6496",10
"GO:0016125","sterol metabolic process","14/339","160/18842",0.0875,4.86334808259587,6.64267334141409,1.23155670745951e-06,0.000355919888455799,0.000149359127999386,"9971/33/6718/335/51478/57540/1717/6770/338/8435/3158/3638/6307/185",14
"GO:0055088","lipid homeostasis","15/339","186/18842",0.0806451612903226,4.482348463222,6.46026275104465,1.4480525501115e-06,0.000383613254733705,0.000160980442718778,"9971/4023/335/57540/3172/6296/338/5468/134/8435/3638/1050/5244/4547/336",15
"GO:0003002","regionalization","17/339","247/18842",0.0688259109311741,3.82542127954331,6.05012498438338,2.61284676515386e-06,0.000638941528186472,0.000268127049338458,"3221/429/3202/9096/6092/6495/3549/7490/6899/5090/10736/7482/153572/2297/6496/340665/4036",17
"GO:0045665","negative regulation of neuron differentiation","7/339","36/18842",0.194444444444444,10.8074401835464,7.97240681977183,3.0569806283739e-06,0.000694152958400045,0.000291296114456106,"429/57540/152330/5909/6658/6496/1745",7
"GO:0009914","hormone transport","18/339","281/18842",0.0640569395017794,3.56035650174787,5.85306927556846,3.66950036545848e-06,0.0007776894441195,0.000326351577968762,"9971/3651/3741/9066/3172/53919/2266/5468/134/3570/222546/6928/2297/2243/54097/2775/185/2244",18
