sample_id,gsm,condition
GSM3243026_3D4_1,GSM3243026,3D4
GSM3243027_3D4_2,GSM3243027,3D4
GSM3243028_3D4_3,GSM3243028,3D4
GSM3243029_3D4_4,GSM3243029,3D4
GSM3243030_3D4_5,GSM3243030,3D4
GSM3243031_3D4_6,GSM3243031,3D4
GSM3243032_3D4_7,GSM3243032,3D4
GSM3243033_3D4_8,GSM3243033,3D4
GSM3243034_3D4_9,GSM3243034,3D4
GSM3243035_3D4_10,GSM3243035,3D4
GSM3243036_3D5_1,GSM3243036,3D5
GSM3243037_3D5_2,GSM3243037,3D5
GSM3243038_3D5_3,GSM3243038,3D5
GSM3243039_3D5_4,GSM3243039,3D5
GSM3243040_3D5_5,GSM3243040,3D5
GSM3243041_3D5_6,GSM3243041,3D5
GSM3243042_3D5_7,GSM3243042,3D5
GSM3243043_3D5_8,GSM3243043,3D5
GSM3243044_3D5_9,GSM3243044,3D5
GSM3243045_3D5_10,GSM3243045,3D5
GSM3243046_3D8_1,GSM3243046,3D8
GSM3243047_3D8_2,GSM3243047,3D8
GSM3243048_3D8_3,GSM3243048,3D8
GSM3243049_3D8_4,GSM3243049,3D8
GSM3243050_3D8_5,GSM3243050,3D8
GSM3243051_3D8_6,GSM3243051,3D8
GSM3243052_3D8_7,GSM3243052,3D8
GSM3243053_3D8_8,GSM3243053,3D8
GSM3243054_3D8_9,GSM3243054,3D8
GSM3243055_3D8_10,GSM3243055,3D8
GSM3243056_2D3_0,GSM3243056,2D3
GSM3243057_2D3_1,GSM3243057,2D3
GSM3243058_2D3_3,GSM3243058,2D3
GSM3243059_2D3_5,GSM3243059,2D3
GSM3243060_2D3_7,GSM3243060,2D3
GSM3243061_2D3_9,GSM3243061,2D3
GSM3243062_2D3_15,GSM3243062,2D3
GSM3243063_2D3_18,GSM3243063,2D3
GSM3243064_2D3_20,GSM3243064,2D3
GSM3243065_2D8_0,GSM3243065,2D8
GSM3243066_2D8_1,GSM3243066,2D8
GSM3243067_2D8_3,GSM3243067,2D8
GSM3243068_2D8_5,GSM3243068,2D8
GSM3243069_2D8_7,GSM3243069,2D8
GSM3243070_2D8_9,GSM3243070,2D8
GSM3243071_2D8_12,GSM3243071,2D8
GSM3243072_2D8_15,GSM3243072,2D8
GSM3243073_2D8_18,GSM3243073,2D8
GSM3243074_2D8_20,GSM3243074,2D8
GSM3243075_2D12_0,GSM3243075,2D12
GSM3243076_2D12_1,GSM3243076,2D12
GSM3243077_2D12_3,GSM3243077,2D12
GSM3243078_2D12_5,GSM3243078,2D12
GSM3243079_2D12_7,GSM3243079,2D12
GSM3243080_2D12_9,GSM3243080,2D12
GSM3243081_2D12_12,GSM3243081,2D12
GSM3243082_2D12_15,GSM3243082,2D12
GSM3243083_2D12_18,GSM3243083,2D12
GSM3243084_2D12_20,GSM3243084,2D12
GSM3243085_P46_new_1,GSM3243085,P46
GSM3243086_P50_new_1,GSM3243086,P50
GSM3243087_PJC_new_1,GSM3243087,PJC
